ty,tech,mx,ar,eff,loss,fail,inv,lc,fom,life
Tesla_Cash,1,0.34,1,0.95,0.145,0,683,0,0,15
EnergySageRIAvg,1,0.35,2,0.95,0.145,0,1050,0,0,15
