ty,mx,mn,fcf,fuel,tank,h2p,sup,inv,fom,vom,life
Natural Gas Fuel Boiler 76% AFUE,4.418073,0,0.76,G,0,0,0,7530.23253,95,0,20
Natural Gas Fuel Boiler 80% AFUE,4.418073,0,0.8,G,0,0,0,7530.23253,95,0,20
Natural Gas Fuel Boiler 90% AFUE,4.418073,0,0.9,G,0,0,0,8264.23253,95,0,20
Natural Gas Fuel Furnace 60% AFUE,4.418073,0,0.6,G,0,0,0,2148.23253,40,0,20
Natural Gas Fuel Furnace 76% AFUE,4.418073,0,0.76,G,0,0,0,2148.23253,40,0,20
Natural Gas Fuel Furnace 80% AFUE,4.418073,0,0.8,G,0,0,0,2148.23253,40,0,20
Natural Gas Fuel Furnace 92.5% AFUE,4.418073,0,0.925,G,0,0,0,2736.23253,40,0,20
Natural Gas Fuel Furnace 99% AFUE,4.418073,0,0.99,G,0,0,0,3188.23253,40,0,20
Natural Gas Fuel Wall/Floor Furnace 60% AFUE,4.418073,0,0.6,G,0,0,0,2148.23253,40,0,20
Natural Gas Fuel Wall/Floor Furnace 68% AFUE,4.418073,0,0.68,G,0,0,0,2148.23253,40,0,20
Fuel Oil Fuel Boiler 76% AFUE,4.418073,0,0.76,L,0,0,0,9577.23253,140,0,20
Fuel Oil Fuel Boiler 80% AFUE,4.418073,0,0.8,L,0,0,0,9577.23253,140,0,20
Fuel Oil Fuel Boiler 90% AFUE,4.418073,0,0.9,L,0,0,0,12018.23253,150,0,20
Fuel Oil Fuel Furnace 60% AFUE,4.418073,0,0.6,L,0,0,0,4327.23253,75,0,20
Fuel Oil Fuel Furnace 76% AFUE,4.418073,0,0.76,L,0,0,0,4327.23253,75,0,25
Fuel Oil Fuel Furnace 80% AFUE,4.418073,0,0.8,L,0,0,0,4327.23253,75,0,25
Fuel Oil Fuel Furnace 92.5% AFUE,4.418073,0,0.925,L,0,0,0,6768.23253,150,0,25
Fuel Oil Fuel Wall/Floor Furnace 60% AFUE,4.418073,0,0.6,L,0,0,0,4327.23253,75,0,25
Fuel Oil Fuel Wall/Floor Furnace 68% AFUE,4.418073,0,0.68,L,0,0,0,4327.23253,75,0,25
Propane Fuel Boiler 76% AFUE,4.418073,0,0.76,L,0,0,0,7530.23253,95,0,20
Propane Fuel Boiler 80% AFUE,4.418073,0,0.8,L,0,0,0,7530.23253,95,0,20
Propane Fuel Boiler 90% AFUE,4.418073,0,0.9,L,0,0,0,8264.23253,95,0,20
Propane Fuel Furnace 60% AFUE,4.418073,0,0.6,L,0,0,0,2148.23253,40,0,20
Propane Fuel Furnace 76% AFUE,4.418073,0,0.76,L,0,0,0,2148.23253,40,0,20
Propane Fuel Furnace 80% AFUE,4.418073,0,0.8,L,0,0,0,2148.23253,40,0,20
Propane Fuel Furnace 92.5% AFUE,4.418073,0,0.925,L,0,0,0,2736.23253,40,0,20
Propane Fuel Wall/Floor Furnace 60% AFUE,4.418073,0,0.6,L,0,0,0,2148.23253,40,0,20
Propane Fuel Wall/Floor Furnace 68% AFUE,4.418073,0,0.68,L,0,0,0,2148.23253,40,0,20
0,0.0,0,0.0,0,0,0,0,0.0,0,0,0
