Eq,Inv,Qty,New,CAPEX,Date
HP-MINISPLIT,4500.0,1.0,0.0,0.0,01/01/2019 01:00
WH-TANKLESS-GAS,1200.0,1.0,0.0,0.0,01/01/2019 01:00
PV-MONO,320.0,4.0,0.0,0.0,01/01/2019 01:00
